"AntennaAngle [deg]","Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
30,0.02,0,-40,2.07928884298264
30,0.02,0,-39,2.06472132186622
30,0.02,0,-38,2.04737613391242
30,0.02,0,-37,2.0273710536706
30,0.02,0,-36,2.00484006041644
30,0.02,0,-35,1.97993231130188
30,0.02,0,-34,1.95281095253071
30,0.02,0,-33,1.92365178181212
30,0.02,0,-32,1.89264177800463
30,0.02,0,-31,1.85997751636094
30,0.02,0,-30,1.82586349006481
30,0.02,0,-29,1.79051036075296
30,0.02,0,-28,1.75413316238179
30,0.02,0,-27,1.71694948407187
30,0.02,0,-26,1.67917765839245
30,0.02,0,-25,1.64103498188388
30,0.02,0,-24,1.6027359944211
30,0.02,0,-23,1.56449084326469
30,0.02,0,-22,1.52650375631093
30,0.02,0,-21,1.48897164713492
30,0.02,0,-20,1.45208287193376
30,0.02,0,-19,1.41601615544808
30,0.02,0,-18,1.38093969941929
30,0.02,0,-17,1.34701048319038
30,0.02,0,-16,1.31437376176508
30,0.02,0,-15,1.28316276210358
30,0.02,0,-14,1.25349857376724
30,0.02,0,-13,1.22549022535794
30,0.02,0,-12,1.1992349336629
30,0.02,0,-11,1.17481850815372
30,0.02,0,-10,1.1523158896343
30,0.02,0,-9,1.13179179851922
30,0.02,0,-8,1.11330146556992
30,0.02,0,-7,1.09689141602373
30,0.02,0,-6,1.08260027700069
30,0.02,0,-5,1.07045957791955
30,0.02,0,-4,1.06049451442269
30,0.02,0,-3,1.05272464799392
30,0.02,0,-2,1.04716451601408
30,0.02,0,-1,1.04382413036789
30,0.02,0,0,1.04270934679031
30,0.02,0,1,1.04382209179601
30,0.02,0,2,1.04716043912163
30,0.02,0,3,1.05271853296277
30,0.02,0,4,1.06048636072942
30,0.02,0,5,1.07044938339559
30,0.02,0,6,1.08258803660643
30,0.02,0,7,1.0968771203617
30,0.02,0,8,1.11328509917063
30,0.02,0,9,1.13177333794261
30,0.02,0,10,1.15229530143981
30,0.02,0,11,1.1747957468028
30,0.02,0,12,1.19920993942822
30,0.02,0,13,1.22546292232354
30,0.02,0,14,1.25346886801268
30,0.02,0,15,1.28313054017126
30,0.02,0,16,1.31433888951402
30,0.02,0,17,1.3469728051392
30,0.02,0,18,1.38089903867734
30,0.02,0,19,1.41597231432434
30,0.02,0,20,1.45203563329955
30,0.02,0,21,1.48892077659725
30,0.02,0,22,1.52644900523012
30,0.02,0,23,1.56443195262211
30,0.02,0,24,1.60267269951176
30,0.02,0,25,1.64096701777605
30,0.02,0,26,1.67910476606208
30,0.02,0,27,1.7168714170867
30,0.02,0,28,1.75404969397898
30,0.02,0,29,1.79042129112698
30,0.02,0,30,1.82576865366031
30,0.02,0,31,1.85987678895055
30,0.02,0,32,1.8925350833239
30,0.02,0,33,1.92353909752523
30,0.02,0,34,1.95269231531042
30,0.02,0,35,1.9798078208264
30,0.02,0,36,2.00470988211298
30,0.02,0,37,2.02723542007075
30,0.02,0,38,2.04723534452529
30,0.02,0,39,2.06457574152176
30,0.02,0,40,2.07913889864618
30,0.02,0,41,2.09082415793417
