Phi[deg],Theta[deg],im(rEX)[mV]
-88,10,-9.62816
-86,10,-19.3164
-84,10,-28.9851
-82,10,-38.6244
-80,10,-48.2245
-78,10,-57.7753
-76,10,-67.267
-74,10,-76.6895
-72,10,-86.0327
-70,10,-95.2865
-68,10,-104.441
-66,10,-113.485
-64,10,-122.409
-62,10,-131.202
-60,10,-139.854
-58,10,-148.355
-56,10,-156.693
-54,10,-164.859
-52,10,-172.841
-50,10,-180.63
-48,10,-188.215
-46,10,-195.585
-44,10,-202.731
-42,10,-209.642
-40,10,-216.308
-38,10,-222.719
-36,10,-228.866
-34,10,-234.739
-32,10,-240.33
-30,10,-245.63
-28,10,-250.63
-26,10,-255.322
-24,10,-259.699
-22,10,-263.753
-20,10,-267.479
-18,10,-270.868
-16,10,-273.917
-14,10,-276.619
-12,10,-278.97
-10,10,-280.966
-8,10,-282.604
-6,10,-283.881
-4,10,-284.793
-2,10,-285.341
0,10,-285.523
2,10,-285.338
4,10,-284.787
6,10,-283.872
8,10,-282.592
10,10,-280.952
12,10,-278.953
14,10,-276.599
16,10,-273.894
18,10,-270.843
20,10,-267.451
22,10,-263.724
24,10,-259.667
26,10,-255.289
28,10,-250.595
30,10,-245.593
32,10,-240.292
34,10,-234.7
36,10,-228.826
38,10,-222.678
40,10,-216.266
42,10,-209.6
44,10,-202.689
46,10,-195.544
48,10,-188.174
50,10,-180.59
52,10,-172.801
54,10,-164.82
56,10,-156.655
58,10,-148.318
60,10,-139.82
62,10,-131.169
64,10,-122.378
66,10,-113.456
68,10,-104.414
70,10,-95.2625
72,10,-86.0112
74,10,-76.6707
76,10,-67.251
78,10,-57.7623
80,10,-48.2145
82,10,-38.6175
84,10,-28.9813
86,10,-19.3158
88,10,-9.63074
90,10,0.064039
92,10,9.75874
94,10,19.4436
96,10,29.1087
98,10,38.7444
100,10,48.3407
102,10,57.8877
104,10,67.3755
106,10,76.7942
108,10,86.1335
110,10,95.3834
112,10,104.534
114,10,113.574
116,10,122.494
118,10,131.284
120,10,139.932
122,10,148.429
124,10,156.764
126,10,164.927
128,10,172.907
130,10,180.693
132,10,188.275
134,10,195.643
136,10,202.786
138,10,209.695
140,10,216.359
142,10,222.768
144,10,228.914
146,10,234.787
148,10,240.377
150,10,245.676
152,10,250.676
154,10,255.368
156,10,259.745
158,10,263.8
160,10,267.526
162,10,270.917
164,10,273.967
166,10,276.671
168,10,279.024
170,10,281.022
172,10,282.663
174,10,283.941
176,10,284.857
178,10,285.408
180,10,285.593
-180,12,335.942
-178,12,335.724
-176,12,335.066
-174,12,333.97
-172,12,332.437
-170,12,330.47
-168,12,328.074
-166,12,325.252
-164,12,322.011
-162,12,318.356
-160,12,314.294
-158,12,309.834
-156,12,304.983
-154,12,299.75
-152,12,294.144
-150,12,288.177
-148,12,281.857
-146,12,275.197
-144,12,268.207
-142,12,260.9
-140,12,253.287
-138,12,245.38
-136,12,237.193
-134,12,228.737
-132,12,220.026
-130,12,211.073
-128,12,201.889
-126,12,192.489
-124,12,182.885
-122,12,173.089
-120,12,163.114
-118,12,152.973
-116,12,142.677
-114,12,132.24
-112,12,121.672
-110,12,110.987
-108,12,100.194
-106,12,89.3057
-104,12,78.3331
-102,12,67.2872
-100,12,56.1787
-98,12,45.0184
-96,12,33.8166
-94,12,22.5838
-92,12,11.3304
-90,12,0.0665996
-88,12,-11.1973
-86,12,-22.4511
-84,12,-33.6844
-82,12,-44.887
-80,12,-56.0484
-78,12,-67.1581
-76,12,-78.2054
-74,12,-89.1796
-72,12,-100.07
-70,12,-110.864
-68,12,-121.552
-66,12,-132.122
-64,12,-142.562
-62,12,-152.86
-60,12,-163.004
-58,12,-172.982
-56,12,-182.781
-54,12,-192.389
-52,12,-201.792
-50,12,-210.979
-48,12,-219.936
-46,12,-228.65
-44,12,-237.109
-42,12,-245.299
-40,12,-253.209
-38,12,-260.825
-36,12,-268.136
-34,12,-275.129
-32,12,-281.792
-30,12,-288.115
-28,12,-294.086
-26,12,-299.694
-24,12,-304.929
-22,12,-309.783
-20,12,-314.246
-18,12,-318.31
-16,12,-321.967
-14,12,-325.21
-12,12,-328.033
-10,12,-330.431
-8,12,-332.399
-6,12,-333.933
-4,12,-335.03
-2,12,-335.688
0,12,-335.906
2,12,-335.684
4,12,-335.021
6,12,-333.92
8,12,-332.382
10,12,-330.41
12,12,-328.008
14,12,-325.181
16,12,-321.934
18,12,-318.274
20,12,-314.207
22,12,-309.741
24,12,-304.884
26,12,-299.646
28,12,-294.035
30,12,-288.062
32,12,-281.738
34,12,-275.073
36,12,-268.079
38,12,-260.767
40,12,-253.15
42,12,-245.24
44,12,-237.049
46,12,-228.59
48,12,-219.876
50,12,-210.92
52,12,-201.735
54,12,-192.333
56,12,-182.727
58,12,-172.93
60,12,-162.954
62,12,-152.813
64,12,-142.517
66,12,-132.081
68,12,-121.514
70,12,-110.829
72,12,-100.038
74,12,-89.152
76,12,-78.1818
78,12,-67.1386
80,12,-56.0331
82,12,-44.8761
84,12,-33.6779
86,12,-22.449
88,12,-11.1998
90,12,0.0595791
92,12,11.3188
94,12,22.5678
96,12,33.7961
98,12,44.9935
100,12,56.1497
102,12,67.254
104,12,78.2959
106,12,89.2645
108,12,100.149
110,12,110.938
112,12,121.621
114,12,132.185
116,12,142.62
118,12,152.913
120,12,163.052
122,12,173.025
124,12,182.819
126,12,192.422
128,12,201.821
130,12,211.004
132,12,219.957
134,12,228.668
136,12,237.123
138,12,245.311
140,12,253.218
142,12,260.832
144,12,268.141
146,12,275.133
148,12,281.795
150,12,288.117
152,12,294.087
154,12,299.696
156,12,304.932
158,12,309.786
160,12,314.25
162,12,318.316
164,12,321.975
166,12,325.22
168,12,328.046
170,12,330.447
172,12,332.418
174,12,333.956
176,12,335.057
