Phi[deg],Theta[deg],re(rEX)[mV]
164,12,66.3238
166,12,58.8554
168,12,51.103
170,12,43.1043
172,12,34.8985
174,12,26.5255
176,12,18.026
178,12,9.44169
180,12,0.814231
-180,14,0.948213
-178,14,-10.6664
-176,14,-22.2257
-174,14,-33.6732
-172,14,-44.9532
-170,14,-56.0107
-168,14,-66.7918
-166,14,-77.2441
-164,14,-87.3166
-162,14,-96.9602
-160,14,-106.128
-158,14,-114.775
-156,14,-122.86
-154,14,-130.343
-152,14,-137.187
-150,14,-143.36
-148,14,-148.831
-146,14,-153.574
-144,14,-157.566
-142,14,-160.787
-140,14,-163.222
-138,14,-164.859
-136,14,-165.69
-134,14,-165.712
-132,14,-164.924
-130,14,-163.33
-128,14,-160.938
-126,14,-157.761
-124,14,-153.812
-122,14,-149.113
-120,14,-143.686
-118,14,-137.558
-116,14,-130.758
-114,14,-123.32
-112,14,-115.281
-110,14,-106.679
-108,14,-97.5565
-106,14,-87.9584
-104,14,-77.9312
-102,14,-67.5241
-100,14,-56.7877
-98,14,-45.7745
-96,14,-34.5382
-94,14,-23.1337
-92,14,-11.6165
-90,14,-0.042812
-88,14,11.5309
-86,14,23.0481
-84,14,34.4527
-82,14,45.689
-80,14,56.7023
-78,14,67.4388
-76,14,77.8461
-74,14,87.8733
-72,14,97.4717
-70,14,106.594
-68,14,115.196
-66,14,123.236
-64,14,130.674
-62,14,137.474
-60,14,143.603
-58,14,149.03
-56,14,153.729
-54,14,157.678
-52,14,160.856
-50,14,163.248
-48,14,164.842
-46,14,165.631
-44,14,165.609
-42,14,164.778
-40,14,163.142
-38,14,160.707
-36,14,157.486
-34,14,153.495
-32,14,148.752
-30,14,143.281
-28,14,137.109
-26,14,130.265
-24,14,122.782
-22,14,114.698
-20,14,106.051
-18,14,96.8836
-16,14,87.2404
-14,14,77.1682
-12,14,66.7163
-10,14,55.9354
-8,14,44.8782
-6,14,33.5984
-4,14,22.1512
-2,14,10.5922
0,14,-1.02224
2,14,-12.6355
4,14,-24.1909
6,14,-35.6321
8,14,-46.9034
10,14,-57.9499
12,14,-68.7176
14,14,-79.1541
16,14,-89.2084
18,14,-98.8316
20,14,-107.977
22,14,-116.599
24,14,-124.656
26,14,-132.11
28,14,-138.923
30,14,-145.062
32,14,-150.497
