Phi[deg],Theta[deg],im(rEY)[mV]
158,8,-145.761
160,8,-133.029
162,8,-120.13
164,8,-107.08
166,8,-93.8941
168,8,-80.5897
170,8,-67.183
172,8,-53.6909
174,8,-40.1304
176,8,-26.5183
178,8,-12.8719
180,8,0.791725
-180,10,0.796643
-178,10,17.6682
-176,10,34.5183
-174,10,51.3254
-172,10,68.068
-170,10,84.7248
-168,10,101.275
-166,10,117.696
-164,10,133.969
-162,10,150.073
-160,10,165.987
-158,10,181.691
-156,10,197.166
-154,10,212.392
-152,10,227.351
-150,10,242.023
-148,10,256.392
-146,10,270.44
-144,10,284.15
-142,10,297.504
-140,10,310.488
-138,10,323.085
-136,10,335.282
-134,10,347.063
-132,10,358.415
-130,10,369.326
-128,10,379.782
-126,10,389.772
-124,10,399.285
-122,10,408.31
-120,10,416.837
-118,10,424.856
-116,10,432.36
-114,10,439.341
-112,10,445.79
-110,10,451.7
-108,10,457.067
-106,10,461.884
-104,10,466.146
-102,10,469.848
-100,10,472.988
-98,10,475.561
-96,10,477.565
-94,10,478.999
-92,10,479.86
-90,10,480.148
-88,10,479.862
-86,10,479.003
-84,10,477.572
-82,10,475.569
-80,10,472.998
-78,10,469.861
-76,10,466.16
-74,10,461.9
-72,10,457.085
-70,10,451.721
-68,10,445.811
-66,10,439.364
-64,10,432.385
-62,10,424.882
-60,10,416.864
-58,10,408.338
-56,10,399.314
-54,10,389.802
-52,10,379.812
-50,10,369.356
-48,10,358.446
-46,10,347.094
-44,10,335.312
-42,10,323.116
-40,10,310.518
-38,10,297.533
-36,10,284.178
-34,10,270.468
-32,10,256.419
-30,10,242.049
-28,10,227.375
-26,10,212.415
-24,10,197.187
-22,10,181.711
-20,10,166.005
-18,10,150.089
-16,10,133.984
-14,10,117.709
-12,10,101.285
-10,10,84.7327
-8,10,68.0736
-6,10,51.3287
-4,10,34.5193
-2,10,17.6669
0,10,0.793041
2,10,-16.0807
4,10,-32.9329
6,10,-49.7417
8,10,-66.486
10,10,-83.1441
12,10,-99.695
14,10,-116.118
16,10,-132.391
18,10,-148.495
