Phi[deg],Theta[deg],im(rEX)[mV]
58,8,-644.897
60,8,-636.185
62,8,-627.133
64,8,-617.75
66,8,-608.045
68,8,-598.031
70,8,-587.719
72,8,-577.123
74,8,-566.256
76,8,-555.134
78,8,-543.772
80,8,-532.188
82,8,-520.397
84,8,-508.419
86,8,-496.271
88,8,-483.975
90,8,-471.549
92,8,-459.015
94,8,-446.394
96,8,-433.707
98,8,-420.977
100,8,-408.225
102,8,-395.476
104,8,-382.751
106,8,-370.074
108,8,-357.469
110,8,-344.958
112,8,-332.565
114,8,-320.313
116,8,-308.226
118,8,-296.326
120,8,-284.636
122,8,-273.177
124,8,-261.972
126,8,-251.043
128,8,-240.409
130,8,-230.091
132,8,-220.108
134,8,-210.48
136,8,-201.224
138,8,-192.357
140,8,-183.896
142,8,-175.856
144,8,-168.25
146,8,-161.094
148,8,-154.397
150,8,-148.173
152,8,-142.431
154,8,-137.179
156,8,-132.426
158,8,-128.177
160,8,-124.439
162,8,-121.216
164,8,-118.509
166,8,-116.322
168,8,-114.654
170,8,-113.505
172,8,-112.873
174,8,-112.754
176,8,-113.146
178,8,-114.042
180,8,-115.435
-180,10,-12.9677
-178,10,-15.8159
-176,10,-19.29
-174,10,-23.3758
-172,10,-28.0575
-170,10,-33.3183
-168,10,-39.14
-166,10,-45.5034
-164,10,-52.3885
-162,10,-59.774
-160,10,-67.6382
-158,10,-75.9583
-156,10,-84.7112
-154,10,-93.8729
-152,10,-103.419
-150,10,-113.325
-148,10,-123.567
-146,10,-134.118
-144,10,-144.954
-142,10,-156.05
-140,10,-167.381
-138,10,-178.922
-136,10,-190.648
-134,10,-202.535
-132,10,-214.561
-130,10,-226.701
-128,10,-238.933
-126,10,-251.235
-124,10,-263.587
-122,10,-275.968
-120,10,-288.358
-118,10,-300.739
-116,10,-313.093
-114,10,-325.404
-112,10,-337.656
-110,10,-349.835
-108,10,-361.926
-106,10,-373.917
-104,10,-385.798
-102,10,-397.556
-100,10,-409.184
-98,10,-420.672
-96,10,-432.013
-94,10,-443.201
-92,10,-454.23
-90,10,-465.096
-88,10,-475.794
-86,10,-486.322
-84,10,-496.677
-82,10,-506.859
-80,10,-516.866
-78,10,-526.698
-76,10,-536.356
-74,10,-545.839
-72,10,-555.15
-70,10,-564.289
-68,10,-573.259
-66,10,-582.061
-64,10,-590.697
-62,10,-599.17
-60,10,-607.482
-58,10,-615.635
-56,10,-623.631
-54,10,-631.472
-52,10,-639.159
-50,10,-646.693
-48,10,-654.077
-46,10,-661.31
-44,10,-668.393
-42,10,-675.325
-40,10,-682.106
-38,10,-688.734
-36,10,-695.208
-34,10,-701.525
-32,10,-707.682
-30,10,-713.676
-28,10,-719.502
-26,10,-725.155
-24,10,-730.63
-22,10,-735.92
-20,10,-741.019
-18,10,-745.919
-16,10,-750.612
-14,10,-755.09
-12,10,-759.342
-10,10,-763.36
-8,10,-767.132
-6,10,-770.649
-4,10,-773.899
-2,10,-776.869
0,10,-779.55
2,10,-781.927
4,10,-783.99
6,10,-785.725
8,10,-787.119
10,10,-788.161
12,10,-788.836
14,10,-789.134
16,10,-789.041
18,10,-788.546
20,10,-787.636
22,10,-786.301
24,10,-784.529
26,10,-782.311
28,10,-779.637
30,10,-776.497
32,10,-772.884
34,10,-768.789
36,10,-764.208
38,10,-759.134
40,10,-753.563
42,10,-747.491
44,10,-740.916
46,10,-733.838
48,10,-726.256
50,10,-718.171
52,10,-709.587
54,10,-700.508
56,10,-690.938
58,10,-680.885
60,10,-670.357
62,10,-659.363
64,10,-647.914
66,10,-636.023
68,10,-623.703
70,10,-610.969
72,10,-597.838
74,10,-584.327
76,10,-570.455
78,10,-556.243
80,10,-541.712
82,10,-526.885
84,10,-511.786
86,10,-496.438
88,10,-480.869
90,10,-465.105
92,10,-449.174
94,10,-433.104
96,10,-416.925
98,10,-400.666
100,10,-384.357
102,10,-368.031
104,10,-351.717
106,10,-335.449
108,10,-319.257
110,10,-303.173
112,10,-287.23
114,10,-271.46
116,10,-255.894
118,10,-240.563
120,10,-225.5
122,10,-210.734
124,10,-196.296
126,10,-182.215
128,10,-168.52
130,10,-155.238
132,10,-142.397
134,10,-130.022
136,10,-118.138
138,10,-106.769
140,10,-95.9369
142,10,-85.6627
144,10,-75.966
146,10,-66.865
148,10,-58.3762
150,10,-50.5146
152,10,-43.2938
154,10,-36.7255
156,10,-30.8198
158,10,-25.5851
160,10,-21.0281
162,10,-17.1538
164,10,-13.9653
166,10,-11.4641
168,10,-9.65
170,10,-8.52103
172,10,-8.07353
174,10,-8.30219
176,10,-9.20005
178,10,-10.7586
180,10,-12.9677
-180,12,91.6091
-178,12,87.6263
-176,12,82.867
-174,12,77.3515
-172,12,71.1016
-170,12,64.1409
-168,12,56.4943
-166,12,48.1885
-164,12,39.2511
-162,12,29.7112
-160,12,19.5986
-158,12,8.94432
-156,12,-2.21994
-154,12,-13.8618
-152,12,-25.9484
-150,12,-38.4464
-148,12,-51.3223
-146,12,-64.5424
-144,12,-78.0731
-142,12,-91.8807
-140,12,-105.932
-138,12,-120.194
-136,12,-134.635
-134,12,-149.223
-132,12,-163.927
-130,12,-178.717
-128,12,-193.564
-126,12,-208.439
-124,12,-223.317
-122,12,-238.17
-120,12,-252.976
-118,12,-267.711
-116,12,-282.353
-114,12,-296.882
-112,12,-311.281
-110,12,-325.531
-108,12,-339.617
-106,12,-353.525
-104,12,-367.244
-102,12,-380.761
-100,12,-394.068
-98,12,-407.157
-96,12,-420.021
-94,12,-432.655
-92,12,-445.057
-90,12,-457.222
-88,12,-469.151
-86,12,-480.842
-84,12,-492.298
-82,12,-503.52
-80,12,-514.51
-78,12,-525.274
-76,12,-535.814
-74,12,-546.137
-72,12,-556.247
-70,12,-566.151
-68,12,-575.854
-66,12,-585.364
-64,12,-594.686
-62,12,-603.828
-60,12,-612.796
-58,12,-621.596
-56,12,-630.234
-54,12,-638.716
-52,12,-647.048
-50,12,-655.235
-48,12,-663.281
-46,12,-671.189
-44,12,-678.962
-42,12,-686.604
-40,12,-694.115
-38,12,-701.496
-36,12,-708.746
-34,12,-715.865
-32,12,-722.851
-30,12,-729.699
-28,12,-736.407
-26,12,-742.969
-24,12,-749.378
-22,12,-755.628
-20,12,-761.71
-18,12,-767.615
-16,12,-773.333
-14,12,-778.852
-12,12,-784.161
-10,12,-789.246
-8,12,-794.094
-6,12,-798.689
-4,12,-803.018
-2,12,-807.062
0,12,-810.807
2,12,-814.234
4,12,-817.326
6,12,-820.065
8,12,-822.433
10,12,-824.411
12,12,-825.981
14,12,-827.125
16,12,-827.823
18,12,-828.058
20,12,-827.813
22,12,-827.069
24,12,-825.81
26,12,-824.021
28,12,-821.685
30,12,-818.788
32,12,-815.317
34,12,-811.26
36,12,-806.605
38,12,-801.342
40,12,-795.462
42,12,-788.96
44,12,-781.828
46,12,-774.063
48,12,-765.662
50,12,-756.625
52,12,-746.953
54,12,-736.648
56,12,-725.715
58,12,-714.16
60,12,-701.992
62,12,-689.222
64,12,-675.86
66,12,-661.921
68,12,-647.422
70,12,-632.379
72,12,-616.812
74,12,-600.743
76,12,-584.195
78,12,-567.192
80,12,-549.762
82,12,-531.932
84,12,-513.733
86,12,-495.195
88,12,-476.35
90,12,-457.234
92,12,-437.881
94,12,-418.327
96,12,-398.61
98,12,-378.768
100,12,-358.84
102,12,-338.866
104,12,-318.886
106,12,-298.942
108,12,-279.075
110,12,-259.325
112,12,-239.735
114,12,-220.347
116,12,-201.201
118,12,-182.338
120,12,-163.8
122,12,-145.626
124,12,-127.856
126,12,-110.527
128,12,-93.6783
130,12,-77.3453
132,12,-61.5634
134,12,-46.3664
136,12,-31.7865
138,12,-17.8547
140,12,-4.59988
142,12,7.95057
144,12,19.7712
146,12,30.8387
148,12,41.1315
150,12,50.6303
152,12,59.318
154,12,67.1797
156,12,74.2026
158,12,80.3765
160,12,85.6933
162,12,90.1472
164,12,93.7349
166,12,96.4553
168,12,98.3098
170,12,99.3019
172,12,99.4375
174,12,98.7247
176,12,97.1737
178,12,94.797
180,12,91.6091
-180,14,197.213
-178,14,191.943
-176,14,185.743
-174,14,178.637
-172,14,170.656
-170,14,161.829
-168,14,152.191
-166,14,141.776
-164,14,130.619
-162,14,118.76
-160,14,106.236
-158,14,93.0881
-156,14,79.3577
-154,14,65.0864
-152,14,50.3168
-150,14,35.0919
-148,14,19.4548
-146,14,3.44892
-144,14,-12.8827
-142,14,-29.4971
-140,14,-46.3518
-138,14,-63.4052
-136,14,-80.6161
-134,14,-97.9447
-132,14,-115.352
-130,14,-132.8
-128,14,-150.253
-126,14,-167.676
-124,14,-185.036
-122,14,-202.301
-120,14,-219.442
-118,14,-236.433
-116,14,-253.246
-114,14,-269.858
-112,14,-286.249
-110,14,-302.398
-108,14,-318.29
-106,14,-333.908
-104,14,-349.24
-102,14,-364.276
-100,14,-379.007
-98,14,-393.426
-96,14,-407.529
-94,14,-421.314
-92,14,-434.778
-90,14,-447.924
-88,14,-460.754
-86,14,-473.272
-84,14,-485.482
-82,14,-497.393
-80,14,-509.012
-78,14,-520.348
-76,14,-531.41
-74,14,-542.209
-72,14,-552.757
-70,14,-563.064
-68,14,-573.143
-66,14,-583.006
-64,14,-592.665
-62,14,-602.132
-60,14,-611.419
-58,14,-620.538
-56,14,-629.501
-54,14,-638.317
-52,14,-646.997
-50,14,-655.551
-48,14,-663.986
-46,14,-672.31
-44,14,-680.531
-42,14,-688.652
-40,14,-696.679
-38,14,-704.615
-36,14,-712.462
-34,14,-720.219
-32,14,-727.887
-30,14,-735.463
-28,14,-742.942
-26,14,-750.321
-24,14,-757.592
-22,14,-764.747
-20,14,-771.777
-18,14,-778.671
-16,14,-785.416
-14,14,-791.998
-12,14,-798.402
-10,14,-804.613
-8,14,-810.611
-6,14,-816.378
-4,14,-821.895
-2,14,-827.139
0,14,-832.089
2,14,-836.723
4,14,-841.015
6,14,-844.943
8,14,-848.482
10,14,-851.606
12,14,-854.29
14,14,-856.509
16,14,-858.237
18,14,-859.449
20,14,-860.121
22,14,-860.227
24,14,-859.745
26,14,-858.651
28,14,-856.923
30,14,-854.54
32,14,-851.483
34,14,-847.732
36,14,-843.272
38,14,-838.086
40,14,-832.162
42,14,-825.486
44,14,-818.05
46,14,-809.845
48,14,-800.866
50,14,-791.11
52,14,-780.573
54,14,-769.259
56,14,-757.17
58,14,-744.311
60,14,-730.691
62,14,-716.321
64,14,-701.213
66,14,-685.384
68,14,-668.849
70,14,-651.632
72,14,-633.752
74,14,-615.237
76,14,-596.113
78,14,-576.409
80,14,-556.158
82,14,-535.392
84,14,-514.149
86,14,-492.466
88,14,-470.382
90,14,-447.938
92,14,-425.179
94,14,-402.148
96,14,-378.891
98,14,-355.455
100,14,-331.89
102,14,-308.243
104,14,-284.565
106,14,-260.907
108,14,-237.321
110,14,-213.857
112,14,-190.568
114,14,-167.506
116,14,-144.722
118,14,-122.268
120,14,-100.195
122,14,-78.5525
124,14,-57.3904
126,14,-36.7569
128,14,-16.6992
130,14,2.73704
132,14,21.5076
134,14,39.57
136,14,56.8836
138,14,73.4097
140,14,89.112
142,14,103.956
144,14,117.911
146,14,130.946
148,14,143.035
150,14,154.155
152,14,164.284
154,14,173.404
156,14,181.499
158,14,188.557
160,14,194.57
162,14,199.529
164,14,203.433
166,14,206.279
168,14,208.073
170,14,208.817
172,14,208.522
174,14,207.199
176,14,204.861
178,14,201.526
180,14,197.213
-180,16,302.775
-178,16,296.088
-176,16,288.313
-174,16,279.482
-172,16,269.633
-170,16,258.803
-168,16,247.036
-166,16,234.375
-164,16,220.864
-162,16,206.553
-160,16,191.489
